city,menuItemName,menuItemDescription,menuItemCurrentPrice,menuItemImageUrl,menuItemCategory,menuItemAverageRating,menuItemRatingCount,restaurantName,restaurantDescription
Houston,STEAK YAKISOBA,Japanese sautéed noodles with vegetables in a special sauce with Steak.,$18.80,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/4e92ef59-c158-40ca-8872-66c699d20d52-1e15eecf-7ac5-4888-a92f-4163262590ec-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,HIBACHI SHRIMP YAKISOBA,Japanese sautéed noodles with vegetables in a special sauce with Shrimp,$18.80,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d7232513-71f6-4068-8862-47ebff6e5493-78eace8b-f045-4ea2-8a3b-31eda9665661-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,SUSHI COMBINATION ,Comes with: - California Roll- A piece of Shrimp nigiri- A piece of Tuna nigiri- A piece of Salmon nigiri- A piece of Yellowtail- Benihana salad- Miso soup,$20.60,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/c6823c6b-b97c-45f9-85b4-ae52690ac981-edba6510-865d-4b90-92e4-7983046affd5-retina-large.JPG",LUNCH ENTRÉES,4.35029411315918,2378,Benihana,"Chicken, Steak, Hibachi, Asian Food, Family Meals, Asian, Sushi, Japanese"
Houston,Karaage Chicken,"Fried chicken bites, spicy yuzu peel marmalade.",$9.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3fb24687-e36e-4ad6-b9d0-62ce9d9d8b2e-retina-large.JPG",Small Plates,4.65513896942139,1041,Izakaya,Ramen Restaurant
Houston,Slutty Fries,"Seasoned Fries, Chopped Patty with Cheese, Slut Sauce, and Grilled Onions",$10.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/0a5bcf91-0fc4-47a1-aad1-8719a9523321-retina-large.jpg",Fries,4.35269689559937,482,BunSlut,BunSlut
Houston,Virgin Fries,Seasoned Fries,$4.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3a783463-d9d1-4f05-8680-d9991f367eee-4e2be485-2365-4a16-9cea-50d663c53055-retina-large.JPG",Fries,4.35269689559937,482,BunSlut,BunSlut
Houston,Dripped Nachos,"Nacho chips topped with cheese sauce, birria de res meat, jalapenos, chopped onions, and cilantro",$9.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/47d1ce98-66be-4bc9-9f0e-c41e08b60f4a-retina-large.jpg",Sides,4.31238794326782,557,Dripped Birria,"Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food"
Houston,Sprite,Canned Drink,$2.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/ea8dea6a-4c27-4d1f-9c85-f0e2628ca0e5-retina-large.png",Drinks,4.31238794326782,557,Dripped Birria,"Halal, Birria, Quesadillas, Fries, Tacos, Nachos, Mexican, Fast Food"
Houston,Miss Piggie,"Freshly Ground Bacon and Beef Patty (Will Always be Pink), House Candied Bacon, Hash Brown, Cheddar, Lettuce, and Tomatoes.",$12.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/479ba62b-b358-4435-bdb4-dd3e741368ed-retina-large-jpeg",The Burgers (1/2lb.),4.81660079956055,1783,Stanton's City Bites,"Burgers, Dinner, Bar and Grill"
Houston,94. Mì Quảng,"Special yellow rice noodles with pork, shrimp, fish cake, shredded cabbage and banana blossom to be tossed with a lightly spicy broth. Garnished with peanuts, fried onions, and Vietnamese crackers.",$15.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/20f2c55b-de29-4868-ac76-6017df3d82c8-retina-large.jpg",Noodles and Soup,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,57. Com Bo Luc Lac,"Tender chunks of stir-fried beef tenderloin, peppers and onion, served with house rice.",$22.75,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/7cb42c36-ea06-49fd-b808-6c7f43772f47-retina-large.jpg",Rice Plates,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,57B. Cơm Gà Lúc Lắc,"Stir-fried white meat chicken, peppers and onion, served with house rice.",$22.75,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/8cdf0fcf-df0f-4592-9a98-756f7348fb3d-retina-large.jpg",Rice Plates,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,56. Com Bò Xào,Stir fried beef and lemongrass served with rice.,$20.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/c8eb88ab-f344-4fa1-b46b-e8bb3b84f18c-retina-large.jpg",Rice Plates,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,60. Cơm Chiên Xá Xíu,BBQ pork fried rice.,$18.95,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/08812cb3-80dc-4dbc-a189-654467e8617d-retina-large.jpg",Fried Rice,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,80. Hủ Tiếu Xào Chay,"Wok-fried crispy flat rice noodles topped with stir-fried tofu and vegetables.   Soft noodles available, by request.",$21.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/7a75b930-e470-4472-a2d8-8273f4740c87-retina-large.jpg",Vegetable & Tofu Dishes,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,87. Dau Hủ Xào Xả ớt,Tofu stir-fried with hot chilies and lemongrass.,$18.95,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/ef4d65ed-a486-4a59-b20a-8060267ab90f-retina-large.jpg",Vegetable & Tofu Dishes,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,F2. Sườn Bò đại Hàn,Chargrilled beef short ribs.,$19.25,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/21ea838e-f190-46fd-afa9-b0efe3cdfffd-retina-large.jpg",Family Style,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,F5. Tôm Hoặc Gà Xào Lăn,"Coconut curry with your choice of shrimp or chicken, stir-fried with onions and mushrooms.   Garnished with peanuts.  Add broccoli for $2.",$21.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/51990a95-2e33-46fc-b3ef-528e4c6bba91-retina-large.jpg",Family Style,4.82217311859131,3166,Huynh Restaurant,Vietnamese Restaurant
Houston,Wagyu Sandwich,"Wagyu beef, gruyere cheese, Katz coffee caramelized onions, jalapeno aioli, crispy onions, served on french roll",$19.75,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/5a55a4ca-130f-4a68-a94b-1eaa3b7891b6-956ed54b-d280-4a37-ba1b-97a05283c5dc-retina-large.JPG",Sandwiches,4.88386678695679,7302,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)"
Houston,Beef Stroganoff,"Wagyu Beef, Parmesan,Flying Saucer Cream Sauce, Butternut Squash, Truffle Oil, Pappardelle. Served with Garlic Bread",$25.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/381b2a38-4e46-442c-bab2-725580ffbbeb-b9056cb5-a35a-4b84-b209-1b0c93c3f3ba-retina-large.JPG",Daily Specials,4.88386678695679,7302,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)"
Houston,Texas Beef Sandwich,"Wagyu beef, gruyere cheese, Katz coffee caramelized onions, jalapeno aioli, crispy onions, served on french roll",$19.75,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/5a55a4ca-130f-4a68-a94b-1eaa3b7891b6-956ed54b-d280-4a37-ba1b-97a05283c5dc-retina-large.JPG",Sandwiches,4.88386678695679,7302,Local Foods,"Sandwiches, Gluten-Free, American (Traditional)"
Houston,Baby Brownie á la Mode,Quarter size version of Sara's Brownie.,$2.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/f146b5a3-4dbb-4720-8f65-135bd8456911-retina-large.JPEG",Sweets,4.83991193771362,2280,Barnaby's Cafe,"American (New), Breakfast & Brunch, Salad"
Houston,Baklava-Havuc Dilimi  ,"Sweet and buttery pastry with pistachios. Imported fresh from Gaziantep, the Turkish baklava capital!!",$7.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/34608d67-734f-4e8b-a3d7-9920b0a6f88b-retina-large-jpeg",Desserts / Tatilar,4.79905080795288,2528,Istanbul Grill,"Turkish, Middle Eastern, Mediterranean, Bar and Grill"
Houston,Baklava-Special,"Sweet and buttery pastry with pistachios. Imported fresh from Gaziantep, the Turkish baklava capital!!",$3.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/6c3a800a-3d62-4466-970c-d7b6cf006979-retina-large-jpeg",Desserts / Tatilar,4.79905080795288,2528,Istanbul Grill,"Turkish, Middle Eastern, Mediterranean, Bar and Grill"
Houston,Mac & Cheese Balls ,3 delicious hand-breaded mac & cheese balls.,$8.49,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/287f163a-3b5f-4ed6-9f65-95b38bebe8a0-retina-large.JPG",Appetizers,4.65038585662842,389,Twisted Grilled Cheese,Twisted Grilled Cheese
Houston,Butternut Squash Risotto,"Cauliflower Rice, Maple Coconut Cream, Toasted Bread Crumb(Vegan)",$5.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/e15801fa-0ba5-4125-a3ff-4f94c8d88f65-retina-large.jpg",Single Sides,4.85320281982422,5620,Flower Child,"Pickup, Takeout, American (New), Gluten-Free, Vegetarian, Healthy"
Houston,Large Butternut Squash Risotto,"Cauliflower Rice, Maple Coconut Cream, Toasted Bread Crumb(Vegan)",$14.35,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/709bbe7d-abd3-44fe-8d03-57a5bbc63b3d-retina-large.jpg",Build Your Own Family Meal,4.85320281982422,5620,Flower Child,"Pickup, Takeout, American (New), Gluten-Free, Vegetarian, Healthy"
Houston,Butternut Squash “Risotto”,"Cauliflower Rice, Maple Coconut Cream, Toasted Bread Crumb(Vegan)",$5.50,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/e15801fa-0ba5-4125-a3ff-4f94c8d88f65-retina-large.jpg",Single Sides,4.85320281982422,5620,Flower Child,"Pickup, Takeout, American (New), Gluten-Free, Vegetarian, Healthy"
Houston,Large Butternut Squash “Risotto”,"Cauliflower Rice, Maple Coconut Cream, Toasted Bread Crumb(Vegan)",$14.35,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/709bbe7d-abd3-44fe-8d03-57a5bbc63b3d-retina-large.jpg",Build Your Own Family Meal,4.85320281982422,5620,Flower Child,"Pickup, Takeout, American (New), Gluten-Free, Vegetarian, Healthy"
Houston,Oeuf de Monde (Society Egg),"Gluten-free. Creamy truffled basil egg salad stuffed deviled eggs, bacon, and balsamic.",$10.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/cdc9acc8-0d94-4d51-b31b-bb0052fe7904-retina-large.JPG",Feast,4.73094701766968,3241,Urban Eats,"Cafe barista, fast-casual eatery, and gourmand market all in one."
Houston,Pepper Chicken,"2 Marinated grilled chicken breasts, topped with grilled poblano pepper strips and melted cheddar cheese. ",$18.95,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/235bdca0-fe4b-48d4-887a-a5d5813af707-retina-large-jpeg",Chicken and Ribs,4.62048578262329,1523,Lupe Tortilla,Mexican Restaurant
Houston,Breakfast Tacos (3),"Three of the same: Hot Honey 'Shrooms, Sausage & Egg, or Truffle Hash.",$12.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/41695c91-c545-4f01-a22c-5d8ed1b11c8d-66818eae-8e29-47b7-ab2f-9666f04ea6ac-retina-large.JPG",Entrees,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Chik'n Fried 'Shrooms & Grits,Crispy and perfectly seasoned Oyster Mushrooms over a bed of smooth cooked-just-right grits.,$16.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/2151223c-dc53-4336-a2a5-e6bb93fcfd53-retina-large.JPG",Entrees,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Breakfast Quesadilla,"This Quesadilla is a gem! Filled with our delicious truffle hash, vegan eggs, vegan cheese & perfectly sauteed spinach. Topped with a drizzle of vegan sour cream & our famous Trill Sauce along with a sprinkle of fresh green onions.",$13.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/2d5318c7-2b58-44ef-9ea4-544d90cd8c0a-retina-large.JPG",Entrees,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,'Shrooms & Grits Flight,"Perfect for when you can't decide and great for sharing! Get creamy grits with 'Shrooms drizzled with Trill, Hot Honey and Swamp Sauce.",$18.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/e9a03a17-3284-4a10-b592-3abae11f8884-7dd212f7-5aad-4d4a-80fe-be267fa94b45-retina-large.JPG",Entrees,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Cauli Wings,"Fresh Cauli Wings lightly breaded , fried and tossed in one of our homemade signature Houston Sauce Co. sauces!!!!",$10.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3c19f787-5025-444f-a8a1-23089236e7b3-1e35b8ab-d142-4245-a266-083c1901a0ff-retina-large.JPG",Lite Bites,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Buffalo Chik'n Dip,"Shredded chik'n, cream cheeze & buffalo sauce (gf)",$11.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d58e99f3-17e5-40e1-a699-9f86b9bf57da-retina-large.JPG",Lite Bites,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Almond Butter Croissant,"Dusted with powdered sugar, drizzled with chocolate (sf)",$9.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/6a9224a4-8aa5-42d3-b4eb-6d90a8ae626a-retina-large.JPG",Lite Bites,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Naked Fried Brussels,Fresh and crispy tossed in a fig demi glace sauce. (gf/sf),$9.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/df1ac732-2fb8-4c97-be0d-9230124c5933-retina-large.JPG",Mo' Better Bites,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Buffalo Chik'n Dip,"Shredded chik'n, cream cheeze & buffalo sauce (gf)",$11.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d58e99f3-17e5-40e1-a699-9f86b9bf57da-retina-large.JPG",Mo' Better Bites,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Cauli Wings,"Fresh Cauli Wings lightly breaded , fried and tossed in one of our homemade signature Houston Sauce Co. sauces!!!!",$10.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/3c19f787-5025-444f-a8a1-23089236e7b3-1e35b8ab-d142-4245-a266-083c1901a0ff-retina-large.JPG",Starters,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Crunchy Boudain Sushi Roll,Crunchy Boudain Sushi Roll Drizzled with Unagi & our famous Trill Sauce. Perfect for sharing or for a meal!,$15.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/b8641d18-e3af-47d3-90ca-a296cf1ff551-c01e54bf-77ce-4dc7-9098-8fb0ea3c582d-retina-large.JPG",Starters,4.81443309783936,97,Mo' Better Brews,"Vegan, Wine, Beer, Waffles, Pancakes, Sandwiches, Pizza"
Houston,Hummus,"Served with carrots, celery, cucumber and grilled pita.",$5.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/bd6763e4-108c-42ec-bf88-bd0fb9893db9-retina-large.JPG",The Appetizers,4.75147914886475,507,Chatter's Cafe,"Cafes, Breakfast, American (New), Sandwich, Lunch, Catering"
Houston,Fried Calamari,With house made marinara & spicy remoulade.,$9.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/bc765cec-ff59-4704-b2c0-41923d094bb9-retina-large.JPG",The Appetizers,4.75147914886475,507,Chatter's Cafe,"Cafes, Breakfast, American (New), Sandwich, Lunch, Catering"
Houston,Chatter Burger,1/2 lb. Angus beef with our own Chatter’s spread.,$9.25,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/d8e76947-13e3-4bee-81d1-6a7e9f4a64ce-retina-large.JPG",The Burgers,4.75147914886475,507,Chatter's Cafe,"Cafes, Breakfast, American (New), Sandwich, Lunch, Catering"
Houston,Grilled Chicken Kabob,"Served with Mediterranean rice, seasonal vegetables and St. George sauce.",$14.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photosV2/cbd2598d-f64b-402b-85f2-716fc5fd6321-retina-large.JPG",The Entrees,4.75147914886475,507,Chatter's Cafe,"Cafes, Breakfast, American (New), Sandwich, Lunch, Catering"
Houston,Gyros Plate,"Slices of slow-roasted blend of seasoned lamb & beef, Greciansauce, sliced tomatoes and red onion served with fresh cut friesand grilled pita.",$13.00,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/photos/5b56757f-1276-4a2d-848c-ea40164da223-retina-large.jpg",The Entrees,4.75147914886475,507,Chatter's Cafe,"Cafes, Breakfast, American (New), Sandwich, Lunch, Catering"
